year,unemployment
1989,17.6399993896484 
1990,21.2600002288818 
1991,20.6000003814697 
1992,24.3799991607666 
1993,26.2299995422363 
1994,27.7399997711182 
1995,31.8400001525879 
1996,25.4 
1997,25.4300003051758 
1998,26.9 
1999,28.1 
2000,29.7700004577637 
2001,27.2999992370605 
2002,25.8999996185303 
2003,23.7199993133545 
2004,17.6499996185303 
2005,15.2700004577637 
2006,12.2700004577637 
2007,13.789999961853 
2008,11.3299999237061 
2009,10.1599998474121 
2010,9.96000003814697 
2011,9.96000003814697 
2012,10.9700002670288 
2013,9.81999969482422 
2014,10.207200050354 
2015,11.2061004638672 
2016,10.2024002075195 
